Title,Author,Date,Link
Processing body dynamics drive non-genetic MEK inhibitors tolerance by fine-tuning KRAS and NRAS translation,"Olivia Vidal-Cruchez, Victoria J Nicolini, Tifenn Rete, Roger Rezzonico, Caroline Lacoux, Julien Fassy, Karine Jacquet, Marie-Angela Domdom, Chloé Ventujol, Thierry Juhel, Barnabé Roméo, Jérémie Roux, Arnaud Hubstenberger, Bernard Mari, Baharia Mograbi, Paul Hofman, Patrick Brest",2021.12.06.471470;,https://www.biorxiv.org/content/10.1101/2021.12.06.471470v2
Pervasive conditional selection of driver mutations and modular epistasis networks in cancer,"Jaime Iranzo, George Gruenhagen, Jorge Calle-Espinosa, Eugene V. Koonin",2022.01.10.475617;,https://www.biorxiv.org/content/10.1101/2022.01.10.475617v1
Predicting cancer prognosis and drug response from the tumor microbiome,"Leandro C. Hermida, E. Michael Gertz, Eytan Ruppin",2020.07.21.214148;,https://www.biorxiv.org/content/10.1101/2020.07.21.214148v5
Collagen XVIII promotes breast cancer through EGFR/ErbB signaling and its ablation improves the efficacy of ErbB-targeting inhibitors,"Raman Devarajan, Hellevi Peltoketo, Valerio Izzi, Heli Ruotsalainen, Saila Kauppila, Marja-Riitta Väisänen, Gunilla Rask, Guillermo Martínez-Nieto, Sanna-Maria Karppinen, Timo Väisänen, Inderjeet Kaur, Jussi Koivunen, Takako Sasaki, Robert Winqvist, Fredrik Wärnberg, Malin Sund, Taina Pihlajaniemi, Ritva Heljasvaara",2022.01.10.474416;,https://www.biorxiv.org/content/10.1101/2022.01.10.474416v1
PD1+ T-cells correlate with Nerve Fiber Density as a prognostic biomarker in patients with resected perihilar cholangiocarcinoma,"Xiuxiang Tan, Mika Rosin, Simone Appinger, Jan Bednarsch, Dong Liu, Georg Wiltberger, Juan Garcia Vallejo, Sven Lang, Zoltan Czigany, Shiva Boroojerdi, Nadine T. Gaisa, Peter Boor, Roman David Bülow, Judith de Vos-Geelen, Liselot Valkenburg-van Iersel, Marian Clahsen-van Groningen, Evelien J.M. de Jong, Bas Groot Koerkamp, Michail Doukas, Flavio G. Rocha, Tom Luedde, Uwe Klinge, Shivan Sivakumar, Ulf Neumann, Lara Heij",2022.01.07.475344;,https://www.biorxiv.org/content/10.1101/2022.01.07.475344v1
Coordinated Cross-Talk Between the Myc and Mlx Networks in Liver Regeneration and Neoplasia,"Huabo Wang, Jie Lu, Frances Alencastro, Alexander Roberts, Julia Fiedor, Patrick Carroll, Robert N. Eisenman, Sarangarajan Ranganathan, Michael Torbenson, Andrew W. Duncan, Edward V. Prochownik",2021.08.05.455215;,https://www.biorxiv.org/content/10.1101/2021.08.05.455215v2
Genetic Impairment of Succinate Metabolism Disrupts Bioenergetic Sensing in Adrenal Neuroendocrine Cancer,"Priyanka Gupta, Keehn Strange, Rahul Telange, Ailan Guo, Heather Hatch, Amin Sobh, Jonathan Elie, Angela M. Carter, John Totenhagen, Chunfeng Tan, Yogesh A. Sonawane, Jiri Neuzil, Amarnath Natarajan, Ashley J. Ovens, Jonathan S. Oakhill, Thorsten Wiederhold, Karel Pacak, Hans K. Ghayee, Laurent Meijer, Sushanth Reddy, James A. Bibb",2022.01.09.475410;,https://www.biorxiv.org/content/10.1101/2022.01.09.475410v2
Radiofrequency ablation remodels the tumor microenvironment and promotes systemic immunomodulation in pancreatic cancer,"Erika Y. Faraoni, Nirav C. Thosani, Baylee O’Brien, Lincoln N. Strickland, Victoria Mota, Jarod Chaney, Putao Cen, Julie Rowe, Jessica Cardenas, Kyle L. Poulsen, Curtis J. Wray, Jennifer Bailey-Lundberg",2022.01.07.475451;,https://www.biorxiv.org/content/10.1101/2022.01.07.475451v1
Peptide-centric analyses of human plasma enable increased resolution of biological insights into non-small cell lung cancer relative to protein-centric analysis,"Margaret K. R. Donovan, Yingxiang Huang, John E. Blume, Jian Wang, Daniel Hornburg, Iman Mohtashemi, Sangtae Kim, Marwin Ko, Ryan W. Benz, Theodore L. Platt, Serafim Batzoglou, Omid C. Farokhzad, Asim Siddiqui",2022.01.07.475393;,https://www.biorxiv.org/content/10.1101/2022.01.07.475393v1
Targeting EGFR in glioblastoma with a novel brain-penetrant small molecule EGFR-TKI,"Jing Ni, Yanzhi Yang, Qiwei Wang, Johann S. Bergholz, Tao Jiang, Thomas M. Roberts, Nathanael S. Gray, Jean J. Zhao",2021.01.09.426030;,https://www.biorxiv.org/content/10.1101/2021.01.09.426030v4
